linenum,url
1,https://www.njuskalo.hr/nekretnine/opatija-blizina-mora-predivan-stan-staroj-vili-oglas-40507246
2,https://www.njuskalo.hr/nekretnine/lovran-sarmantan-stan-blizu-centra-velikom-okucnicom-oglas-40379522
3,https://www.njuskalo.hr/nekretnine/opatja-strogi-centar-stan-adaptaciju-oglas-39771519
4,https://www.njuskalo.hr/nekretnine/opatija-kosicevo-sarmantan-trosoban-stan-oglas-39732749
5,https://www.njuskalo.hr/nekretnine/opatija-strogi-centar-predivan-stan-staroj-vili-oglas-39634872
6,https://www.njuskalo.hr/nekretnine/opatija-kat-vile-100-metara-mora-oglas-36026303
7,https://www.njuskalo.hr/nekretnine/premium-nekretnina-ultra-moderan-stan-adaptiranoj-staroj-vili-ka-oglas-35938976
8,https://www.njuskalo.hr/nekretnine/opatija-ekskluzivan-stan-visokom-potkrovlju-oglas-35938931
9,https://www.njuskalo.hr/nekretnine/opatija-kroatien-neues-penthouse-mit-meerblick-und-swimmingpool-oglas-35938903
10,https://www.njuskalo.hr/nekretnine/opatija-volosko-stan-adaptaciju-98-m2-oglas-35938852
11,https://www.njuskalo.hr/nekretnine/stan-vili-79m2-strogom-centru-opatije-oglas-35938848
12,https://www.njuskalo.hr/nekretnine/opatija-vrutki-vrhunski-stan-novogradnji-oglas-41646087
13,https://www.njuskalo.hr/nekretnine/opatija-sarmantan-stan-kuci-velikog-potencijala-oglas-41624031
14,https://www.njuskalo.hr/nekretnine/opatija-prvi-red-more-stan-43-m2-oglas-40964772
15,https://www.njuskalo.hr/nekretnine/opatija-sarmantan-stan-senzacionalinim-pogledom-oglas-39970582
16,https://www.njuskalo.hr/nekretnine/dvosobni-stan-rijeka-41.00-m2-oglas-42097312
17,https://www.njuskalo.hr/nekretnine/lovran-dvoetazni-stan-4s-db-oglas-25360263
18,https://www.njuskalo.hr/nekretnine/bez-provizije-ekskluzivni-stanovi-70m-mora-oglas-40987539
19,https://www.njuskalo.hr/nekretnine/stan-prodaja-selce-144-m2-6-soban-oglas-38693324
20,https://www.njuskalo.hr/nekretnine/rijeka-rastocine-80.18-m2-trosoban-stan-juzni-prodaje-vlasnik-oglas-33769452
21,https://www.njuskalo.hr/nekretnine/njivice-prodaja-apartmana-1-katu-500m-mora-oglas-42062208
22,https://www.njuskalo.hr/nekretnine/malinska-luksuzni-penthouse-samo-100m-mora-oglas-40664832
